"iso3","count_respondents","scope","gender","quintile","indicator","value"
"BOL",1478,"country","all","total","unsatisfied_service",28.0655400291183
"BOL",1478,"country","all","total","improved_san",92.0508290153467
"BOL",1478,"country","all","total","no_san_access",3.51568422796049
"BOL",1478,"country","all","total","open_def",1.8829916601858
"BOL",1478,"country","all","total","sewage_treated",5.31119576366731
"BOL",1478,"country","all","total","sewage_contaminates",2.36637887569433
"BRA",1439,"country","all","total","twe_usd_pc",5.49523191230852
"BRA",1439,"country","all","total","twe_usd",16.5551917014978
"BRA",1439,"country","all","total","access_water_piped_home",59.7030873797295
"BRA",1439,"country","all","total","access_water_piped_plot",1.79936264063
"BRA",1439,"country","all","total","water_on_premises",9.78776645617989
"BRA",1439,"country","all","total","water_distr",84.0572335041916
"BRA",1439,"country","all","total","consume_distr",61.5024500203595
"BRA",1439,"country","all","total","consume_other",9.58645205274813
"BRA",1439,"country","all","total","consume_bottled",16.1514070082821
"BRA",1439,"country","all","total","consume_delivered",0.508325951972631
"BRA",1439,"country","all","total","consume_impspring",0.254537674886888
"BRA",1439,"country","all","total","consume_impwell",10.1410004288529
"BRA",1439,"country","all","total","consume_publictap",0.0381803117944956
"BRA",1439,"country","all","total","consume_rain",0.643968260073699
"BRA",1439,"country","all","total","consume_unimproved",1.17367829102967
"BRA",1439,"country","all","total","ou_bottled",0.0588138575788878
"BRA",1439,"country","all","total","ou_delivered",0.071045402425186
"BRA",1439,"country","all","total","ou_distr",82.8325306372222
"BRA",1439,"country","all","total","ou_impspring",0.443155148083764
"BRA",1439,"country","all","total","ou_impwell",10.4706257680979
"BRA",1439,"country","all","total","ou_other",4.29946484043147
"BRA",1439,"country","all","total","ou_publictap",0.107617069034769
"BRA",1439,"country","all","total","ou_rain",0.31272601834517
"BRA",1439,"country","all","total","ou_unimproved",1.40402125878071
"BRA",1439,"country","all","total","san_ecolatrine",0.208143488763154
"BRA",1439,"country","all","total","san_exclusive",98.1416961189515
"BRA",1439,"country","all","total","san_implatrine",7.5506157127754
"BRA",1439,"country","all","total","san_other",4.10233879952541
"BRA",1439,"country","all","total","san_septic",25.56149131812
"BRA",1439,"country","all","total","san_sewer",61.7035583000315
"BRA",1439,"country","all","total","san_unimp",0.381745217199505
"BRA",1439,"country","all","total","improved_w_access",89.2398696562222
"BRA",1439,"country","all","total","water_daily",68.4085770442365
"BRA",1439,"country","all","total","w_dist_treatment",33.6721305219151
"BRA",1439,"country","all","total","w_treatment",58.0614531848025
"BRA",1439,"country","all","total","reason_w_treatment_taste",2.66212817982428
"BRA",1439,"country","all","total","reason_w_treatment_color",1.85692667682902
"BRA",1439,"country","all","total","reason_w_treatment_quality",21.3291817888722
"BRA",1439,"country","all","total","reason_w_treatment_continuity",0.243230239263133
"BRA",1439,"country","all","total","we_piped_water",1961.66249751244
