"iso3","scope","gender","quintile","access_water_piped_house","access_water_piped_house_low","access_water_piped_house_upp","access_water_piped_plot","access_water_piped_plot_low","access_water_piped_plot_upp","water_trucked","water_trucked_low","water_trucked_upp","water_on_premises","water_on_premises_low","water_on_premises_upp","water_distr","water_distr_low","water_distr_upp","consume_distr","consume_distr_low","consume_distr_upp","consume_other","consume_other_low","consume_other_upp","consume_bottled","consume_bottled_low","consume_bottled_upp","improved_w_access","improved_w_access_low","improved_w_access_upp","water_daily","water_daily_low","water_daily_upp","water_dist_daily","water_dist_daily_low","water_dist_daily_upp","access_water_piped_house_daily","access_water_piped_house_daily_low","access_water_piped_house_daily_upp","access_water_piped_plot_daily","access_water_piped_plot_daily_low","access_water_piped_plot_daily_upp","piped_ou","piped_ou_low","piped_ou_upp","other_ou","other_ou_low","other_ou_upp","unimproved_ou","unimproved_ou_low","unimproved_ou_upp","access_san_exclusive","access_san_exclusive_low","access_san_exclusive_upp","access_sewer","access_sewer_low","access_sewer_upp","access_septic","access_septic_low","access_septic_upp","access_latrine","access_latrine_low","access_latrine_upp","improved_san","improved_san_low","improved_san_upp","access_sewer_exclusive","access_sewer_exclusive_low","access_sewer_exclusive_upp","access_septic_exclusive","access_septic_exclusive_low","access_septic_exclusive_upp","access_latrine_exclusive","access_latrine_exclusive_low","access_latrine_exclusive_upp","improved_san_exclusive","improved_san_exclusive_low","improved_san_exclusive_upp","no_san_access","no_san_access_low","no_san_access_upp","access_latrines_unimproved","access_latrines_unimproved_low","access_latrines_unimproved_upp","access_latrines_unimproved_exclusive","access_latrines_unimproved_exclusive_low","access_latrines_unimproved_exclusive_upp","sewage_contaminates","sewage_contaminates_low","sewage_contaminates_upp","count_respondents"
"ARG","country","all","total",0.660972404730618,0.609960150369856,0.711984659091379,0.0183968462549277,0.00547783121494818,0.0313158612949073,0.00327225130890052,-0.000856644356091678,0.00740114697389273,0.69053876478318,0.644821494646595,0.736256034919765,0.887434554973822,0.836058996638525,0.93881011330912,0.679369250985545,0.628839559513757,0.729898942457334,0.300919842312746,0.251037484361859,0.350802200263633,0.222733245729304,0.193513591619009,0.251952899839599,0.980289093298292,0.973005916394055,0.987572270202529,0.985507246376812,0.975991243183697,0.995023249569926,0.946927374301676,0.912409789772758,0.981444958830594,0.320561941251596,0.25449427727756,0.386629605225632,0.00927766732935719,0.00271921042198843,0.015836124236726,0.888010540184453,0.836328193306854,0.939692887062052,0.101439790575916,0.052926651301963,0.149952929849869,0.000654450261780105,-0.000629664027244351,0.00193856455080456,0.969895287958115,0.960270696438943,0.979519879477287,0.636668905305574,0.561719813745638,0.71161799686551,0.350570852921424,0.277221645060987,0.423920060781861,0.00335795836131632,-0.00116613774300407,0.00788205446563671,0.990597716588314,0.984077914221126,0.997117518955503,0.620389000670691,0.546301574970378,0.694476426371003,0.336686787391013,0.266582144829721,0.406791429952304,0.00268276324614353,-0.000845193930816804,0.00621072042310386,0.959758551307847,0.947214402845313,0.972302699770381,0,0,0,0,0,0,0.0402414486921529,0.0276973002296188,0.052785597154687,0.00196335078534031,-0.000909149946565555,0.00483585151724618,1528
"BOL","country","all","total",0.584447144592953,0.534165080062248,0.634729209123657,0.164641555285541,0.126215315927989,0.203067794643093,0.0118906064209275,-0.000371921650529319,0.0241531344923843,0.76913730255164,0.732537460028943,0.805737145074338,0.86563614744352,0.827265779371631,0.904006515515408,0.749088699878493,0.709151278646931,0.789026121110056,0.214459295261239,0.178400044056595,0.250518546465884,0.142162818955043,0.112736482136921,0.171589155773164,0.963547995139733,0.948979626337798,0.978116363941667,0.997764530551416,0.995336352332329,1.0001927087705,0.99469964664311,0.98910093492122,1.000298358365,0.349477682811016,0.294655534693702,0.404299830928331,0.0759408602150538,0.0530974419439767,0.0987842784861308,0.869913686806412,0.830657360567992,0.909170013044832,0.084423305588585,0.0552617256367944,0.113584885540376,0.0231866825208086,0.00944198148005974,0.0369313835615574,0.848429951690821,0.828678640584305,0.868181262797337,0.68019680196802,0.616946228422222,0.743447375513818,0.223862238622386,0.173039941163441,0.274684536081331,0.0412054120541205,0.0191603222869994,0.0632505018212417,0.945264452644527,0.928778615023237,0.961750290265816,0.568014705882353,0.513266067673854,0.622763344090852,0.200980392156863,0.152981208294093,0.248979576019632,0.0330882352941176,0.014674198892944,0.0515022716952912,0.802083333333333,0.778377712095139,0.825788954571528,0.073394495412844,0.0111044580667699,0.135684532758918,0,0,0,0.197916666666667,0.174211045428472,0.221622287904861,0.0196195005945303,0.0108383197907979,0.0284006813982627,1682
"BRA","country","all","total",0.584889691940954,0.536879753733567,0.632899630148341,0.0146752734191971,0.00811739533189747,0.0212331515064967,0.00575440130443403,0.000671888402244296,0.0108369142066238,0.609190499405243,0.561178646411847,0.657202352398639,0.867921537372416,0.827062829692282,0.908780245052549,0.599564965360151,0.550164695743179,0.648965234977123,0.314184153885604,0.264794233966745,0.363574073804463,0.226598630766474,0.181469970752381,0.271727290780567,0.913749119245756,0.884927893814438,0.942570344677073,0.988884896187132,0.979096857116759,0.998672935257505,0.971075312577599,0.946282124589834,0.995868500565364,0.330355580860831,0.275118810944688,0.385592350776975,0.00886648483943358,0.00329028577003487,0.0144426839088323,0.879308824036538,0.837598273381913,0.921019374691163,0.0850783862068031,0.0530247392936159,0.11713203311999,0.0156014572564838,0.00178739130987861,0.0294155232030891,0.968476524869998,0.956744890953421,0.980208158786575,0.66523476342569,0.613311391746051,0.717158135105329,0.241017956365515,0.195946568908121,0.28608934382291,0.0122008507989969,0.00589719155552072,0.0185045100424731,0.918453570590202,0.897101033267628,0.939806107912776,0.645155425085215,0.593578249202122,0.696732600968308,0.231470635710032,0.187664327937708,0.275276943482357,0.0122008507989969,0.00589719155552072,0.0185045100424731,0.888826911594244,0.86473713436862,0.912916688819868,0.0557317251871202,-0.0199965368653688,0.131459987239609,0,0,0,0.111173088405756,0.0870833111801317,0.13526286563138,0.0181461832128795,0.00836955087116102,0.0279228155545979,1498
"CHL","country","all","total",0.838253382533825,0.809740938472977,0.866765826594673,0.00492004920049201,0.00118337592438669,0.00865672247659732,0.00183150183150183,-0.00018021772908956,0.00384322139209322,0.845633456334563,0.818788029918788,0.872478882750339,0.973748473748474,0.960060621085617,0.98743632641133,0.843173431734317,0.815518177530039,0.870828685938595,0.150676506765068,0.124024110487632,0.177328903042503,0.131611316113161,0.107121815989382,0.15610081623694,0.993849938499385,0.987967994824335,0.999731882174436,0.996761658031088,0.993416323854554,1.00010699220762,0.974489795918367,0.948526092502072,1.00045349933466,0.371764705882353,0.299743819316614,0.443785592448092,0.000617665225447807,-0.000594519393433296,0.00182984984432891,0.974846625766871,0.960909586883911,0.988783664649831,0.0183150183150183,0.00780083274512463,0.028829203884912,0.00183150183150183,-0.000239436792111595,0.00390244045511526,0.959509202453988,0.937829798019452,0.981188606888523,0.911439114391144,0.875912995825188,0.9469652329571,0.0774907749077491,0.0445409105762081,0.11044063923929,0.0030750307503075,0.000427536897676523,0.00572252460293848,0.9920049200492,0.986399868876401,0.997609971222,0.878153846153846,0.839342236749604,0.916965455558088,0.0706822372464659,0.0386732890544651,0.102691185438467,0.00307314074984634,0.000427283433703924,0.00571899806598876,0.950829748002458,0.92885206687855,0.972807429126367,0,0,0,0,0,0,0.0491702519975415,0.0271925708736327,0.0711479331214503,0.00183150183150183,-0.000845647051947348,0.00450865071495101,1638
"COL","country","all","total",0.766035430665852,0.71191401458368,0.820156846748024,0.0128283445326817,0.00215469993677804,0.0235019891285854,0.00240529164161155,-0.00231695912908082,0.00712754241230391,0.794746487477092,0.748168041273247,0.841324933680937,0.853878532772099,0.813940342063548,0.89381672348065,0.778863775198534,0.727613841096543,0.830113709300525,0.134392180818571,0.0942322998600275,0.174552061777114,0.0745265729993891,0.047249063710324,0.101804082288454,0.913255956017105,0.886786143883262,0.939725768150947,0.993023255813953,0.986176633589353,0.999869878038554,0.983812949640288,0.96831788663817,0.999308012642406,0.552873563218391,0.476940340452079,0.628806785984702,0.00737100737100737,-0.000284405761177942,0.0150264205031927,0.84516523867809,0.80189271071232,0.888437766643861,0.0715574263379435,0.0431882227864808,0.0999266298894062,0.0252555622369212,0.0103862319070287,0.0401248925668138,0.946482260974143,0.93235484613242,0.960609675815867,0.798521256931608,0.739298319489153,0.857744194374063,0.133703019100431,0.0893696173056921,0.178036420895171,0.0160197165742452,0.00799927270427271,0.0240401604442177,0.948243992606285,0.928683461874957,0.967804523337612,0.762753534111862,0.703588793238233,0.821918274985491,0.120467117393977,0.0781453335119329,0.16278890127602,0.0153657037492317,0.00778186382110175,0.0229495436773617,0.898586355255071,0.8748837497893,0.922288960720841,0.111111111111111,-0.0015354721303838,0.223757694352606,0,0,0,0.101413644744929,0.0777110392791586,0.1251162502107,0.0294648226097414,0.0158699702519355,0.0430596749675474,1663
"CRI","country","all","total",0.868965517241379,0.816681357991251,0.921249676491507,0.00344827586206897,0.000461397626630039,0.00643515409750789,0,0,0,0.873103448275862,0.82101213034517,0.925194766206554,0.869420386409061,0.817044453975467,0.921796318842654,0.872413793103448,0.820331468680533,0.924496117526363,0.0406896551724138,0.0163790139334908,0.0650002964113368,0.0103448275862069,0.00110665790478416,0.0195829972676296,0.913103448275862,0.861954412983732,0.964252483567992,0.99597747385358,0.991919753535164,1.000035194172,0.986111111111111,0.972689101182523,0.999533121039699,0.634146341463415,0.518957992442433,0.749334690484396,0.000691562932226833,-0.000669307447618528,0.00205243331207219,0.886441844459738,0.83856476508416,0.934318923835317,0.033311125916056,0.0113426257611151,0.0552796260709968,0.00799467021985343,0.000166441273130678,0.0158228991665762,0.984656437625083,0.978415967177772,0.990896908072394,0.287446504992867,0.225617053241233,0.349275956744502,0.684022824536377,0.619823314461143,0.74822233461161,0.00499286733238231,9.41794867400951e-05,0.00989155517802453,0.976462196861626,0.967193718952364,0.985730674770889,0.283274021352313,0.222045789718675,0.344502252985951,0.671886120996441,0.608980415147775,0.734791826845107,0.00498220640569395,9.56468880878233e-05,0.00986876592330008,0.960142348754448,0.949131539966722,0.971153157542175,0,0,0,0,0,0,0.0398576512455516,0.0288468424578251,0.0508684600332781,0.0106595602931379,0.0050062136808859,0.0163129069053899,1501
"DOM","country","all","total",0.016,0.00726695317704879,0.0247330468229512,0.00466666666666667,0.00133664177431477,0.00799669155901857,0.0197889182058047,0.00853546483576633,0.0310423715758432,0.052,0.0374492992155057,0.0665507007844943,0.663588390501319,0.614315941147261,0.712860839855377,0.0206666666666667,0.0111327445838304,0.0302005887495029,0.962,0.946036474740929,0.97796352525907,0.923333333333333,0.902176932964827,0.94448973370184,0.982666666666667,0.974171546477004,0.991161786856329,0.99438202247191,0.988608427018418,1.0001556179254,0.989858012170385,0.979469412810224,1.00024661153055,0.00739744451916611,0.00262579812957629,0.0121690909087559,0.00133779264214047,-0.000518627085760701,0.00319421237004164,0.67293485560779,0.623093670637011,0.72277604057857,0.278364116094987,0.231168496416969,0.325559735773005,0.0329815303430079,0.0123196544938405,0.0536434061921753,0.902181097157964,0.884067170500089,0.920295023815839,0.193478260869565,0.139369058823175,0.247587462915956,0.606521739130435,0.551927896596281,0.661115581664588,0.0442028985507246,0.0302311483192228,0.0581746487822265,0.844202898550725,0.821697405123302,0.866708391978147,0.181425485961123,0.130138684145859,0.232712287776387,0.543948126801153,0.493849904270283,0.594046349332023,0.0316774658027358,0.0203009069805092,0.0430540246249624,0.756659467242621,0.731947355464189,0.781371579021053,0,0,0,0,0,0,0.243340532757379,0.218628420978947,0.268052644535811,0.0323218997361478,0.0181212734957289,0.0465225259765666,1516
"ECU","country","all","total",0.62007874015748,0.569566143093667,0.670591337221293,0.00918635170603675,0.0044171599149324,0.0139555434971411,0.00326157860404436,-1.81895586170051e-05,0.00654134676670572,0.633202099737533,0.582680583480232,0.683723615994834,0.909328114807567,0.881642285055404,0.93701394455973,0.629265091863517,0.578489653517092,0.680040530209942,0.341863517060367,0.293355731590249,0.390371302530486,0.30511811023622,0.25908105702722,0.351155163445221,0.971128608923885,0.961421737292581,0.980835480555188,0.978963185574756,0.960161588094291,0.99776478305522,0.955342902711324,0.916434255665504,0.994251549757143,0.387229660144181,0.333598694116072,0.440860626172291,0.00527009222661397,0.00151812188435869,0.00902206256886925,0.906824146981627,0.878223978857048,0.935424315106207,0.0776255707762557,0.0512788032502886,0.103972338302223,0.00717547292889759,0.00248335649406918,0.011867589363726,0.930764206401045,0.916417540825573,0.945110871976517,0.783587028457975,0.72896898651279,0.83820507040316,0.187954996690933,0.137621339082286,0.23828865429958,0.0125744540039709,0.0051646169807448,0.019984291027197,0.984116479152879,0.97710820663274,0.991124751673018,0.73003300330033,0.675969690176725,0.784096316423936,0.174802110817942,0.126711200111388,0.222893021524496,0.0105540897097625,0.00406635579668734,0.0170418236228377,0.91490765171504,0.899852598460293,0.929962704969786,0.037037037037037,-0.0367733109258613,0.110847384999935,0,0,0,0.0850923482849604,0.0700372950302139,0.100147401539707,0.0091324200913242,0.00382437376548942,0.014440466417159,1533
"GTM","country","all","total",0.384420519316023,0.346843945035074,0.421997093596972,0.0246991766941102,0.0143930083483327,0.0350053450398877,0.0012531328320802,-0.000485093221497515,0.00299135888565792,0.412286257124763,0.373038185547084,0.451534328702441,0.736215538847118,0.698987278805216,0.77344379888902,0.409119696010133,0.369202803262698,0.449036588757568,0.538948701709943,0.500851019036083,0.577046384383803,0.395820139328689,0.359023279430441,0.432616999226937,0.948068397720076,0.933151333200509,0.962985462239643,0.991047448522829,0.983393721049002,0.998701175996656,0.983686786296901,0.970033070731579,0.997340501862222,0.238317757009346,0.203163753665015,0.273471760353676,0.0128122998078155,0.00570983776494862,0.0199147618506824,0.725079365079365,0.687376335085786,0.762782395072945,0.176065162907268,0.145518901031737,0.206611424782799,0.0463659147869674,0.0333407326829498,0.059391096890985,0.917868338557994,0.899536514294965,0.936200162821023,0.540038436899423,0.491589407306547,0.5884874664923,0.303651505445227,0.262836961384002,0.344466049506453,0.0538116591928251,0.0385971733007054,0.0690261450849449,0.897501601537476,0.87891926486659,0.916083938208362,0.497766432673899,0.450842317005556,0.544690548342242,0.276324186343331,0.238246112189309,0.314402260497353,0.0497766432673899,0.0353810409813722,0.0641722455534077,0.82386726228462,0.801780706125181,0.84595381844406,0,0,0,0,0,0,0.17613273771538,0.15404618155594,0.198219293874819,0.0281954887218045,0.0191175432746225,0.0372734341689865,1596
"HND","country","all","total",0.26434558349452,0.234989636620925,0.293701530368114,0.121212121212121,0.0963962748606355,0.146027967563607,0.00384615384615385,0.00101268013818651,0.00667962755412118,0.390070921985816,0.349746672810651,0.43039517116098,0.862820512820513,0.841508069404185,0.884132956236841,0.385557704706641,0.345818771434514,0.425296637978768,0.576402321083172,0.534818898297528,0.617985743868816,0.539651837524178,0.498075663208007,0.581228011840349,0.961960025789813,0.947798986121858,0.976121065457768,0.992144540455617,0.987552917970538,0.996736162940695,0.984202211690363,0.9751017139498,0.993302709430927,0.144353029169783,0.12155006253421,0.167155995805356,0.0625429553264605,0.0442887002673109,0.0807972103856101,0.857605177993528,0.835433502410911,0.879776853576144,0.0980769230769231,0.0800263085515983,0.116127537602248,0.0198717948717949,0.0120935030242845,0.0276500867193052,0.913015463917526,0.900139796418292,0.92589113141676,0.402759526938239,0.347169261508362,0.458349792368116,0.455978975032852,0.404141070891532,0.507816879174171,0.0670170827858081,0.0529067147938354,0.0811274507777809,0.925755584756899,0.910757215941772,0.940753953572025,0.367146596858639,0.315167219176448,0.419125974540829,0.423051735428946,0.373691327987216,0.472412142870675,0.0575916230366492,0.04420004246551,0.0709832036077884,0.847513089005235,0.827967370670107,0.867058807340364,0.104166666666667,0.040221215378133,0.1681121179552,0,0,0,0.152486910994764,0.132941192659636,0.172032629329893,0.0397435897435897,0.0278121081377177,0.0516750713494618,1560
